,FECHA_DOC,CANT,CVE_ART
0,2022-01-05,1,TUE00244
1,2022-01-05,1,TUA00028
2,2022-01-05,7,TP0007
3,2022-01-05,1,TP0001
4,2022-01-05,2,BP00242
5,2022-01-05,2,BP00243
6,2022-01-05,1,RP00165
7,2022-01-05,3,TP0001
8,2022-01-05,1,TUE00207
9,2022-01-05,1,TUE00207
10,2022-01-05,1,TUE00207
11,2022-01-05,1,TUE00207
12,2022-01-05,1,TUE00207
13,2022-01-05,1,BO00051
14,2022-01-05,1,BC00023
15,2022-01-05,5,PT00070
16,2022-01-05,2,TP0011
17,2022-01-05,3,PJ31C1F1AA00
18,2022-01-05,5,WRE-2133
19,2022-01-05,7,WRE-2774
20,2022-01-05,3,WRE-4885
21,2022-01-07,3,MR01934
22,2022-01-07,1,PT00080
23,2022-01-07,1,PT00081
24,2022-01-07,2,RP00150
25,2022-01-07,3,TUA00009
26,2022-01-07,5,TP0011
27,2022-01-07,6,TP0012
28,2022-01-07,2,PT00044
29,2022-01-07,30,BOBINA001
30,2022-01-10,6,TUE00247
31,2022-01-10,30,BOBINA001
32,2022-01-10,1,TUE00320
33,2022-01-11,10,PJ31A1F1A400
34,2022-01-11,10,PK31A1F1A400
35,2022-01-11,1,RP00172
36,2022-01-11,1,RP00173
37,2022-01-11,1,BN00232
38,2022-01-12,40,CBS00045
39,2022-01-12,1,MR01934
40,2022-01-12,3,TUE00321
41,2022-01-12,9,TF71E1120A00
42,2022-01-12,10,BO00052
43,2022-01-12,8,TUA00404
44,2022-01-13,2,TEE00025
45,2022-01-14,1,TUS00049
46,2022-01-14,2,TUE00322
47,2022-01-14,2,TUE00323
48,2022-01-14,4,TUS00020
49,2022-01-14,1,TUE00328
50,2022-01-17,5,TUS00003
51,2022-01-17,1,BB1 1/2X1/2-300W
52,2022-01-17,1,TP0008
53,2022-01-17,2,TUE00324
54,2022-01-17,2,TUE00325
55,2022-01-17,1,TUE00326
56,2022-01-17,1,TUE00327
57,2022-01-17,4,RB00010
58,2022-01-18,1,P7J6C1D1A030
59,2022-01-19,2,CS12E2040A00
60,2022-01-19,2,CS12E2040A00
61,2022-01-19,3,BC00024
62,2022-01-19,3,BC00025
63,2022-01-19,6,BP00241
64,2022-01-19,2,TP00016
65,2022-01-19,8,TUA00258
66,2022-01-19,2,BN00236
67,2022-01-19,4,BN00237
68,2022-01-20,4,TUA00364
69,2022-01-20,2,BP00245
70,2022-01-20,1,BP00244
71,2022-01-21,10,PK31B1I1A000
72,2022-01-21,1,BP00051
73,2022-01-21,1,TUA00400
74,2022-01-21,30,ECQ-00972
75,2022-01-21,3,TU5/16X230MM
76,2022-01-24,10,TUE00146
77,2022-01-24,6,BO00054
78,2022-01-24,6,BO00055
79,2022-01-24,8,70001693
80,2022-01-24,10,TP0004
81,2022-01-24,2,BE00010
82,2022-01-24,2,BL00011
83,2022-01-24,2,BL00052
84,2022-01-25,1,TUS00086
85,2022-01-25,12,TEA00058
86,2022-01-25,12,TEA00059
87,2022-01-25,1,TEE00026
88,2022-01-25,20,TP0003
89,2022-01-26,1,TP0001
90,2022-01-26,3,TUA00410
91,2022-01-26,1,CS14B1010A00
92,2022-01-27,1,TUA00350
93,2022-01-27,1,TP0001
94,2022-01-28,1,PK18J1F1A400
95,2022-01-28,3,RP00176
96,2022-01-28,3,TUS00064
97,2022-01-28,3,TUA00078
98,2022-01-28,2,CS38E1017A00
99,2022-01-28,1,TP0003
100,2022-01-28,1,TP0025
101,2022-01-31,2,PT00082
102,2022-01-31,2,54020219
103,2022-01-31,2,93980461
104,2022-01-31,1,PJ14F10B0600
105,2022-01-31,1,TUE00057
106,2022-01-31,4,TUE00331
107,2022-01-31,1,BT00005
108,2022-01-31,1,RC00024
109,2022-01-31,2,TUE00332
110,2022-01-31,1,TUA00124
111,2022-01-31,4,TUE00063
112,2022-01-31,2,TUE00129
113,2022-01-31,1,TUE00008
114,2022-01-31,1,TUA00401
115,2022-01-31,4,CAS00066
116,2022-01-31,2,BB00077
117,2022-01-31,1,TUS00052
118,2022-02-01,1,TU5/16X230MM
119,2022-02-01,4,TJ00087
120,2022-02-01,2,TJ00088
121,2022-02-02,1,BB1 1/2X1/2-300W
122,2022-02-02,2,CBS00002
123,2022-02-02,1,TUS00052
124,2022-02-02,1,TUA00407
125,2022-02-02,3,TP0005
126,2022-02-02,2,65014-38
127,2022-02-03,1,CS12G1040A00
128,2022-02-03,4,MA00001
129,2022-02-03,4,TUA00412
130,2022-02-03,4,TUA00414
131,2022-02-03,4,CS12J1075A00
132,2022-02-03,1,TUE00329
133,2022-02-03,1,TUE00330
134,2022-02-04,15,TUA00143
135,2022-02-04,1,BB2X2ST
136,2022-02-04,1,TUA00405
137,2022-02-04,1,TUA00406
138,2022-02-08,12,CBS00001
139,2022-02-08,4,BN00112
140,2022-02-08,10,RPISTOLA01
141,2022-02-08,3,TUA00408
142,2022-02-08,7,P231B1AF0500
143,2022-02-08,2,TUE00334
144,2022-02-09,2,TUA00400
145,2022-02-09,3,TUA00415
146,2022-02-09,1,TEA00004
147,2022-02-09,4,TUA00082
148,2022-02-09,3,TUE00098
149,2022-02-10,3,RC00026
150,2022-02-10,3,ECQ-01444
151,2022-02-10,3,TUS00002
152,2022-02-10,2,TP0016
153,2022-02-10,2,TP0026
154,2022-02-11,10,CBS00099
155,2022-02-11,6,TK00062
156,2022-02-11,1,TP0005
157,2022-02-11,2,CBS00100
158,2022-02-11,3,PK31B1G10000
159,2022-02-14,3,BN00055
160,2022-02-14,4,CS38M1050A01
161,2022-02-14,4,CS38N1050A01
162,2022-02-14,2,BL00053
163,2022-02-14,1,BN00232
164,2022-02-14,3,BP00246
165,2022-02-14,2,BP00247
166,2022-02-14,2,BP00248
167,2022-02-14,1,BN00115
168,2022-02-14,6,TUS00052
169,2022-02-14,1,TP0010
170,2022-02-14,6,CM12G2075A00
171,2022-02-14,1,RP00177
172,2022-02-15,2,TUS00111
173,2022-02-15,1,TUE00148
174,2022-02-15,1,TU5/16X230MM
175,2022-02-16,2,TP0002
176,2022-02-16,8,PT00057
177,2022-02-16,2,PT00082
178,2022-02-16,8,TU5/16X203V
179,2022-02-17,2,TUE00081
180,2022-02-17,1,TP0011
