,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3,16695,https://www.airbnb.com/rooms/16695,20241129051305,2024-11-30,city scrape,DUPLEX LOFT 2 - SAN TELMO,,"San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/619c33a9-0618-4f36-a2c2-1e2ebc1f88cb.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,2009-12-21,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. _x000D_
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. _x000D_
I love travel around the world and know new cultures. _x000D_
I am studying Italian and English. _x000D_
I like meditation, I  go to the gym 3 time per week.  _x000D_
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses._x000D_
I used airbnb for same rents when I travel and had very nice experience! _x000D_
 _x000D_
Mariano",within an hour,1.0,0.93,f,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,11,13,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Monserrat,,-34.61439,-58.37611,Entire loft,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""TV with standard cable"", ""Wifi"", ""Essentials"", ""Fire extinguisher"", ""Hair dryer"", ""Cooking basics"", ""Host greets you"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Backyard"", ""Air conditioning"", ""Refrigerator"", ""Patio or balcony"", ""Dishes and silverware"", ""Heating"", ""Long term stays allowed"", ""Hot water"", ""Iron"", ""Paid parking off premises"", ""Luggage dropoff allowed""]",50475.0,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,28,58,333,2024-11-30,45,0,0,2011-03-04,2019-11-30,4.28,4.59,4.29,4.83,4.8,4.39,4.41,,t,9,9,0,0,0.27
10,31216,https://www.airbnb.com/rooms/31216,20241129051305,2024-11-29,city scrape,EXCELLENT APARTMENT IN BELGRANO,"EXCELLENT APARTMENT VERY LIGHTFULL, WITH BALCONY.<br />LOCATED IN BELGRANO: PAMPA 1400<br />BIG LIVING ROOM WITH DINING AREA. BEDROOM WITH BED FOR 2 GUESTS 1.60 m X 2 MTS.<br />WIDE WARDROVE.<br />COMPLETE KITCHEN. ARISTON OVEN. REFRIGERATOR WITH FREEZER, MICROWAVE, LAUNDRY,<br />LINEN INCLUDED<br />AIR CONDITIONER, HEATING , TELEPHONE, WIFI INTERNET, CABLE TV.<br />AMENITIES: SWIMMING POOL, GRILL.",,https://a0.muscache.com/pictures/36384998-63ef-44ae-9ae7-fd026c296b71.jpg,134014,https://www.airbnb.com/users/show/134014,Marian,2010-05-28,,,,,,f,https://a0.muscache.com/im/pictures/user/96b157e7-837c-4a4f-8759-2b8b68fa03cb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/96b157e7-837c-4a4f-8759-2b8b68fa03cb.jpg?aki_policy=profile_x_medium,Belgrano,2,2,"['email', 'phone']",t,t,,Belgrano,,-34.55948,-58.44528,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""TV with standard cable"", ""Bed linens"", ""Wifi"", ""Essentials"", ""Self check-in"", ""Coffee maker: Nespresso"", ""Coffee"", ""Hair dryer"", ""Cooking basics"", ""Kitchen"", ""Elevator"", ""Shared pool"", ""Hangers"", ""Microwave"", ""Air conditioning"", ""Washer"", ""Refrigerator"", ""Private backyard"", ""BBQ grill: charcoal"", ""Free parking on premises"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Heating"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot tub"", ""Iron"", ""Paid parking lot on premises \u2013 1 space"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Building staff"", ""Room-darkening shades"", ""Private patio or balcony"", ""Blender"", ""Toaster""]",69655.0,7,1125,7,7,1125,1125,7.0,1125.0,,t,0,0,0,150,2024-11-29,11,0,0,2022-04-16,2023-11-20,5.0,5.0,4.64,5.0,5.0,5.0,4.91,,f,2,2,0,0,0.34
11,31514,https://www.airbnb.com/rooms/31514,20241129051305,2024-11-29,city scrape,BEAUTY DUPLEX LOFT #4 SAN TELMO,"The Duplex-Lofts have a living room and table with chairs for 4 people ,  kitchen equipped. In the high level, the apartments have a bedroom with a queen size bed, Relax area and in the other site you have 2 more single beds.","San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/cdb344b5-6d8a-4924-a941-56fec62c9d3e.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,2009-12-21,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. _x000D_
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. _x000D_
I love travel around the world and know new cultures. _x000D_
I am studying Italian and English. _x000D_
I like meditation, I  go to the gym 3 time per week.  _x000D_
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses._x000D_
I used airbnb for same rents when I travel and had very nice experience! _x000D_
 _x000D_
Mariano",within an hour,1.0,0.93,f,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,11,13,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Monserrat,,-34.61494,-58.37517,Entire loft,Entire home/apt,5,1.0,1 bath,1.0,4.0,"[""TV with standard cable"", ""Wifi"", ""Essentials"", ""Fire extinguisher"", ""Hair dryer"", ""Host greets you"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Refrigerator"", ""Patio or balcony"", ""Dishes and silverware"", ""Heating"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Iron"", ""Paid parking off premises"", ""Luggage dropoff allowed""]",45427.0,2,365,1,3,1125,1125,1.7,1125.0,,t,4,15,34,79,2024-11-29,40,3,0,2010-11-22,2024-03-24,4.35,4.41,4.05,4.76,4.66,4.34,4.47,,t,9,9,0,0,0.23
19,52115,https://www.airbnb.com/rooms/52115,20241129051305,2024-11-30,city scrape,"Small, beautiful apartment in Recoleta","Small apartment in the prettiest neighbourhood of Buenos Aires, Recoleta. Just a block away from Santa Fe Avenue. <br />Fully equiped for two guests and truly comfortable! <br />To read more reviews (I have many! Just not on this website), please visit vrbo . com /es-es/p327489vb",,https://a0.muscache.com/pictures/300486/5a0b125c_original.jpg,240731,https://www.airbnb.com/users/show/240731,Cecilia,2010-09-20,"Buenos Aires, Argentina","Soy argentina, tengo 51 aÃ±os y disfruto mucho tanto viajar como recibir turistas en mi ciudad. Poseo y administro departamentos hace varios aÃ±os, lo mejor de esto son los lazos creados con gente del mundo entero! Me encanta asegurarme de que todos se sientan en casa.
Estoy reactivando las propiedades en esta plataforma, porque antes de la pandemia usaba otra, pero quÃ©dense tranquilos que tengo muchas reviews disponibles, buenas y de confianza!",within an hour,1.0,1.0,f,https://a0.muscache.com/im/users/240731/profile_pic/1285033076/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/240731/profile_pic/1285033076/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,,Recoleta,,-34.59386,-58.3944,Entire serviced apartment,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Bed linens"", ""Wifi"", ""Essentials"", ""Coffee"", ""Fire extinguisher"", ""Clothing storage: closet"", ""Stove"", ""Cooking basics"", ""Baking sheet"", ""Kitchen"", ""Laundromat nearby"", ""Elevator"", ""Body soap"", ""Hangers"", ""Microwave"", ""Extra pillows and blankets"", ""Refrigerator"", ""Oven"", ""Bidet"", ""Dishes and silverware"", ""Heating"", ""Long term stays allowed"", ""Children\u2019s dinnerware"", ""Safe"", ""Hot water"", ""Iron"", ""AC - split type ductless system"", ""Luggage dropoff allowed"", ""Single level home"", ""Babysitter recommendations"", ""Bathtub"", ""Coffee maker: drip coffee maker"", ""Room-darkening shades"", ""Private patio or balcony"", ""Dining table"", ""Blender"", ""32 inch TV with Amazon Prime Video, Disney+, HBO Max, Netflix, standard cable"", ""Cleaning products"", ""Toaster""]",23218.0,4,90,4,4,90,90,4.0,90.0,,t,5,31,34,120,2024-11-30,15,13,2,2019-01-30,2024-11-21,4.93,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.21
21,53097,https://www.airbnb.com/rooms/53097,20241129051305,2024-11-29,city scrape,Duplex-Loft in  Historic Quartier of Buenos Aires,"The Duplex-Lofts have a living room and table with chairs for 4 people, sofa and TV.   <br />Equipped with sofa,  TV, wi-fi, central heating and air conditioning. The equipped kitchen is integrated into the living-room, and itÂ´s equipped with microwave, electric stove, extractor, fridge, cookware and dishes for 4 people. In the high level, the apartments have a bedroom with twin beds, and in low level have other room, more private (with door) It have double bed.","San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/44701742-2ea3-4f9f-8acd-019c2c8a7e58.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,2009-12-21,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. _x000D_
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. _x000D_
I love travel around the world and know new cultures. _x000D_
I am studying Italian and English. _x000D_
I like meditation, I  go to the gym 3 time per week.  _x000D_
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses._x000D_
I used airbnb for same rents when I travel and had very nice experience! _x000D_
 _x000D_
Mariano",within an hour,1.0,0.93,f,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,11,13,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Monserrat,,-34.61494,-58.37517,Entire loft,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""TV with standard cable"", ""Cooking basics"", ""Host greets you"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Hangers"", ""Air conditioning"", ""Hot water"", ""Iron"", ""Refrigerator"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Fire extinguisher""]",40380.0,2,1125,1,3,1125,1125,1.7,1125.0,,t,9,18,34,89,2024-11-29,37,0,0,2010-11-22,2022-07-05,4.28,4.48,4.24,4.55,4.64,4.3,4.24,,t,9,9,0,0,0.22
31,69086,https://www.airbnb.com/rooms/69086,20241129051305,2024-11-29,city scrape,Little Duplex Loft (1) San Telmo,"The Duplex-Lofts have a living room and table with chairs for 4 people ,  kitchen equipped. In the high level, the apartments have a bedroom with a queen size bed, taht can be move to twin beds.","San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/8252440/b05912d0_original.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,2009-12-21,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. _x000D_
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. _x000D_
I love travel around the world and know new cultures. _x000D_
I am studying Italian and English. _x000D_
I like meditation, I  go to the gym 3 time per week.  _x000D_
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses._x000D_
I used airbnb for same rents when I travel and had very nice experience! _x000D_
 _x000D_
Mariano",within an hour,1.0,0.93,f,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,11,13,"['email', 'phone']",t,t,"Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",Monserrat,,-34.61495,-58.37517,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Bed linens"", ""Wifi"", ""Essentials"", ""Fire extinguisher"", ""Cooking basics"", ""Host greets you"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Refrigerator"", ""Patio or balcony"", ""Bidet"", ""Dishes and silverware"", ""Heating"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Iron"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Hot water kettle""]",34323.0,2,1125,1,3,1125,1125,1.7,1125.0,,t,14,30,60,114,2024-11-29,41,1,0,2013-02-06,2024-04-23,4.3,4.55,4.3,4.83,4.79,4.63,4.48,,t,9,9,0,0,0.29
44,77994,https://www.airbnb.com/rooms/77994,20241129051305,2024-11-29,city scrape,Studio 1A - Corazon de San Telmo,"This unit on 1st floor, particularly street overlooks the Defence, Up to 3 people, with double bed and divan bed for one. Table and chairs, and kitchen with service for 3 , TV, heat and cold air.","San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/577795df-cbce-47f5-91be-dfe6be2f694a.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,2009-12-21,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. _x000D_
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. _x000D_
I love travel around the world and know new cultures. _x000D_
I am studying Italian and English. _x000D_
I like meditation, I  go to the gym 3 time per week.  _x000D_
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses._x000D_
I used airbnb for same rents when I travel and had very nice experience! _x000D_
 _x000D_
Mariano",within an hour,1.0,0.93,f,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,11,13,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",San Telmo,,-34.62014,-58.37371,Entire rental unit,Entire home/apt,3,0.0,0 baths,1.0,2.0,"[""Smoking allowed"", ""Host greets you"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Pets allowed"", ""TV"", ""Air conditioning"", ""Hot water"", ""Paid parking off premises"", ""Refrigerator"", ""Fire extinguisher""]",34323.0,2,1125,1,3,1125,1125,1.7,1125.0,,t,14,33,43,105,2024-11-29,7,1,0,2011-09-10,2024-08-23,4.0,3.71,4.14,4.43,4.57,4.86,4.14,,t,9,9,0,0,0.04
45,78005,https://www.airbnb.com/rooms/78005,20241129051305,2024-11-29,city scrape,"SOFA STUDIO, SAN TELMO, 1B","This unit on 1st floor, particularly located on the back building, is quiet and very comfortable. With capacity for 2 person,  have a double bed for 2. Table and 2 chairs, and kitchen with service for 2. LCD TV, heat and cold air.","San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/86f8554c-0333-4e95-bd7c-0fc7030c548e.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,2009-12-21,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. _x000D_
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. _x000D_
I love travel around the world and know new cultures. _x000D_
I am studying Italian and English. _x000D_
I like meditation, I  go to the gym 3 time per week.  _x000D_
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses._x000D_
I used airbnb for same rents when I travel and had very nice experience! _x000D_
 _x000D_
Mariano",within an hour,1.0,0.93,f,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,11,13,"['email', 'phone']",t,t,"Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",San Telmo,,-34.61998,-58.37151,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,2.0,"[""Host greets you"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""TV"", ""Air conditioning"", ""Hot water"", ""Paid parking off premises"", ""Refrigerator"", ""Fire extinguisher""]",28124.0,2,1125,1,3,1125,1125,1.7,1125.0,,t,9,34,57,95,2024-11-29,16,0,0,2011-12-10,2022-11-09,4.13,4.31,4.38,4.63,4.69,4.81,4.56,,t,9,9,0,0,0.1
46,78009,https://www.airbnb.com/rooms/78009,20241129051305,2024-11-29,city scrape,STUDIO DEFENSA 2A en San Telmo,"This unit on 2nd floor, particularly street overlooks the Defence, Up to 4 people, with double bed and divan bed for two. Table and 4 chairs, and kitchen with service for 4, LCD TV, heat and cold air.","San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/3cd7f11b-18a5-4205-9747-9dd22e24b5b1.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,2009-12-21,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. _x000D_
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. _x000D_
I love travel around the world and know new cultures. _x000D_
I am studying Italian and English. _x000D_
I like meditation, I  go to the gym 3 time per week.  _x000D_
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses._x000D_
I used airbnb for same rents when I travel and had very nice experience! _x000D_
 _x000D_
Mariano",within an hour,1.0,0.93,f,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,11,13,"['email', 'phone']",t,t,"Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",San Telmo,,-34.61998,-58.37151,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Cooking basics"", ""Host greets you"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Pets allowed"", ""TV"", ""Air conditioning"", ""Hot water"", ""Paid parking off premises"", ""Refrigerator"", ""Fire extinguisher""]",41531.0,2,1125,1,3,1125,1125,1.7,1125.0,,t,14,33,63,122,2024-11-29,45,1,0,2011-03-16,2024-05-19,4.52,4.67,4.44,4.73,4.73,4.84,4.67,,t,9,9,0,0,0.27
47,78014,https://www.airbnb.com/rooms/78014,20241129051305,2024-11-29,city scrape,STUDIO SOFA CAMA & PATIO,"This 2nd floor unit, located particularly on the back building,  and you can enjoy a patio! With capacity for 1 person,  have a single bed, just for 1. Table and chairs for 2 persons, kitchen with service for 2, LCD TV, heat and cold air.","San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/a54b0909-3458-4cdd-9075-4312bd1f61ef.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,2009-12-21,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. _x000D_
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. _x000D_
I love travel around the world and know new cultures. _x000D_
I am studying Italian and English. _x000D_
I like meditation, I  go to the gym 3 time per week.  _x000D_
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses._x000D_
I used airbnb for same rents when I travel and had very nice experience! _x000D_
 _x000D_
Mariano",within an hour,1.0,0.93,f,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,11,13,"['email', 'phone']",t,t,"Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",San Telmo,,-34.61998,-58.37151,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Host greets you"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Hangers"", ""Microwave"", ""Paid parking on premises"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Hot water"", ""Pets allowed"", ""Refrigerator"", ""Fire extinguisher""]",25954.0,2,365,1,3,1125,1125,2.0,1125.0,,t,11,26,26,67,2024-11-29,25,1,0,2011-07-28,2024-04-17,4.27,4.45,4.45,4.86,4.78,4.95,4.41,,t,9,9,0,0,0.15
