,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
181,350436,https://www.airbnb.com/rooms/350436,20241129051305,2024-12-01,city scrape,Las CaÃ±itas: modern 2BR apartment!,Cool 2 bedroom apartment in trendy neighborhood Las CaÃ±itas. Fully equipped with 2 bathroom and a balcony.,,https://a0.muscache.com/pictures/11df1c4b-994e-4cae-9fed-63281a4d38cc.jpg,1775908,https://www.airbnb.com/users/show/1775908,Jean-Marc,2012-02-19,"Buenos Aires, Argentina",Hi! My name is Jean-Marc. I would be glad to host you and I hope you can have a nice time in BA and love it as much as me!,a few days or more,0.0,0.0,f,https://a0.muscache.com/im/users/1775908/profile_pic/1329688042/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1775908/profile_pic/1329688042/original.jpg?aki_policy=profile_x_medium,Palermo,2,3,"['email', 'phone']",t,t,,Palermo,,-34.57361,-58.43244,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,4.0,"[""TV with standard cable"", ""Bed linens"", ""Wifi"", ""Essentials"", ""Fire extinguisher"", ""Hair dryer"", ""Cooking basics"", ""Kitchen"", ""Elevator"", ""Hangers"", ""Microwave"", ""Extra pillows and blankets"", ""Washer"", ""Patio or balcony"", ""Oven"", ""Free parking on premises"", ""Dishes and silverware"", ""Heating"", ""Dedicated workspace"", ""Hot tub"", ""Hot water"", ""Iron"", ""Bathtub"", ""Coffee maker"", ""BBQ grill""]",67636.0,7,730,7,7,730,730,7.0,730.0,,t,29,59,89,364,2024-12-01,1,0,0,2015-05-16,2015-05-16,5.0,0.0,0.0,0.0,5.0,5.0,5.0,,f,2,2,0,0,0.01
479,1026179,https://www.airbnb.com/rooms/1026179,20241129051305,2024-11-30,city scrape,House in Palermo,,,https://a0.muscache.com/pictures/15431342/4866924a_original.jpg,5097627,https://www.airbnb.com/users/show/5097627,Dan,2013-02-15,"Buenos Aires, Argentina","I am a guy who likes to explore, discover, question, and listen. I like to travel but also enjoy my own city. Find the secrets of buenos aires, through my friends and through visitors eyes._x000D_
_x000D_
I work in creativity and innovation, in consulting and teaching at university. Like to write, photography and drawing.",within an hour,1.0,,f,https://a0.muscache.com/im/pictures/user/23dc06e5-93a8-4b8b-b372-9ea3b1b3a182.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/23dc06e5-93a8-4b8b-b372-9ea3b1b3a182.jpg?aki_policy=profile_x_medium,Palermo,2,7,['phone'],t,t,,Palermo,,-34.59216,-58.42309,Private room in home,Private room,4,1.0,1 shared bath,4.0,1.0,"[""Heating"", ""Kitchen"", ""Wifi""]",26681.0,1,1125,1,1,1125,1125,1.0,1125.0,,t,28,58,88,363,2024-11-30,5,0,0,2013-05-10,2015-01-14,4.0,4.25,2.75,4.5,4.75,4.5,3.75,,f,2,1,1,0,0.04
1901,10893928,https://www.airbnb.com/rooms/10893928,20241129051305,2024-11-30,city scrape,HabitaciÃ³n privada con baÃ±o hermosa,"This amazing room with private en-suite bathroom will make you feel a small neighborhood of the canÃ±itas neighborhood. Full of night life and sunny and quiet day for walking. Spectacular polo shirt building with pool, gym, and grill.","It is young, alive and safe",https://a0.muscache.com/pictures/5418dcf8-1015-4b18-85c1-6e887c763db0.jpg,2056360,https://www.airbnb.com/users/show/2056360,Vanesa,2012-04-02,"Buenos Aires, Argentina","Fashion designer, stylist , artist .
Working also as a teacher in Palermo University. Love photography and arts._x000D_
Curious , love travelling and meeting new people._x000D_
You can check my designs here : (website hidden)",within an hour,1.0,0.0,f,https://a0.muscache.com/im/pictures/user/b4a4f3b6-5afc-4713-b4ae-da4a65735bb2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b4a4f3b6-5afc-4713-b4ae-da4a65735bb2.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",Palermo,,-34.57233,-58.4345,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,"[""Hot tub"", ""Wifi"", ""Pool""]",56532.0,5,30,5,5,30,30,5.0,30.0,,t,27,57,87,87,2024-11-30,1,0,0,2016-12-18,2016-12-18,4.0,4.0,1.0,5.0,4.0,4.0,3.0,,f,1,0,1,0,0.01
2408,15041590,https://www.airbnb.com/rooms/15041590,20241129051305,2024-11-29,previous scrape,Hermoso Dto 2 amb bien ubicado Palermo Soho,,It is 3 blocks up the D line and 3 blocks from Piazza Italia. Lots of omnibus lines,https://a0.muscache.com/pictures/a7cdcfe2-c5a5-4785-82fe-0964ae5cfad8.jpg,95028231,https://www.airbnb.com/users/show/95028231,Diego,2016-09-13,"Buenos Aires, Argentina",,,,,f,https://a0.muscache.com/im/pictures/user/71e6579d-5001-465a-a1d5-d2af97f41919.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/71e6579d-5001-465a-a1d5-d2af97f41919.jpg?aki_policy=profile_x_medium,Palermo,1,1,"['email', 'phone']",t,f,"Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",Palermo,,-34.58483,-58.42401,Entire condo,Entire home/apt,2,,1 bath,1.0,,"[""TV with standard cable"", ""Bed linens"", ""Cooking basics"", ""Oven"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Essentials"", ""Heating"", ""Elevator"", ""Long term stays allowed"", ""Host greets you"", ""Hangers"", ""Air conditioning"", ""Hot water"", ""Stove""]",,3,1125,3,3,1125,1125,3.0,1125.0,,,0,0,0,0,2024-11-29,2,0,0,2019-03-28,2019-04-01,4.0,3.5,2.5,4.5,5.0,5.0,3.5,,f,1,1,0,0,0.03
2589,16214401,https://www.airbnb.com/rooms/16214401,20241129051305,2024-11-29,previous scrape,Departamento en Colegiales- Oasis en la ciudad.,"Places of interest: Le BlÃ©, Oui Oui,  Mercado de las Pulgas, palermo soho, Chacarita. You'll love my place because of the location, the ambiance, the people, the outdoor areas.<br />Colegiales is the quintessential artist neighborhood, very safe, wooded and quiet, with low houses and lots of artistic activity on the street. In the season in Buenos Aires, knowing the avant-garde  to pick you up later in a place of peace. An oasis in the city. My accommodation is good for couples and adventurers.","Living in schoolchildren is like living in a village. Elritmo.del.barrio is quiet, pleasant. Neighbors are friendly and helpful. Willing to help you with whatever you need. It's a safe neighborhood. Surveillance in almost every corner",https://a0.muscache.com/pictures/miso/Hosting-16214401/original/43efb9cd-8f7f-4baa-8a90-2abf90d0294e.jpeg,33942272,https://www.airbnb.com/users/show/33942272,Juliana,2015-05-21,"Buenos Aires, Argentina","Mi nombre es Juliana. Amo viajar y conocer personas nuevas con intereses distintos a los.mios. amo.la naturaleza y les niÃ±es. ME he dedicado hace 18 aÃ±os a la actuacion, el guion,la direccion teatral y audiovisual.  Me gusta que mi huesped ademas de habitar la casa se lleve una experiencia de vida.
Bienvenides
Juliana",,,,f,https://a0.muscache.com/im/pictures/user/78aa3cef-a81c-4639-ac1a-2c32030e53ec.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78aa3cef-a81c-4639-ac1a-2c32030e53ec.jpg?aki_policy=profile_x_medium,Recoleta,2,2,"['email', 'phone']",t,t,"Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",Colegiales,,-34.57974,-58.44907,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Smoking allowed"", ""Breakfast"", ""Host greets you"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Heating"", ""Dryer"", ""Hangers"", ""Air conditioning"", ""Washer"", ""Shampoo""]",,7,50,7,7,1125,1125,7.0,1125.0,,,0,0,0,0,2024-11-29,1,0,0,2019-06-01,2019-06-01,4.0,5.0,2.0,5.0,5.0,4.0,3.0,,f,2,2,0,0,0.01
2749,17170531,https://www.airbnb.com/rooms/17170531,20241129051305,2024-11-29,previous scrape,Beautiful Duplex with balcony in RECOLETA,"This unique Duplex is situated on a quiet street just in front of the renowned 5 star Alvear Palace Hotel.<br />Surrounded by first class shopping, international dining, cinemas, parks, and only few blocks away from the world famous Recoleta Cemetery.<br /><br />Spacious duplex apartment is located on the 6th floor of a classic hotel that provide concierge service and the confidence of being hosted in a place with 24 hour security.","Walking distance to restaurants, shopping center, movie theaters, parks, supermarkets and beauty salon,  close to Recoleta Cemetery, Nuestra SeÃ±ora del Pilar Church, Recoleta Mall, Francia Park, Arts National Museum, Recoleta Cultural and Exhibition Center, Palais de Glace Museum, La Biela Bar, Floralis GenÃ©rica, Alvear Palace Hotel, Four Seasonsâ€™ Hotel, Alvear Av., Callao Av., Libertador Av., Santa Fe Av. <br />There are supermarkets, small groceries, bakery's', almost anything you may need is super handy.",https://a0.muscache.com/pictures/3289eddd-27a6-413b-b758-b29780e31ee0.jpg,72518076,https://www.airbnb.com/users/show/72518076,Walter,2016-05-17,"Buenos Aires, Argentina",,,,,f,https://a0.muscache.com/im/pictures/user/a8a6d55d-fefd-4fcf-9170-18c1f245f615.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a8a6d55d-fefd-4fcf-9170-18c1f245f615.jpg?aki_policy=profile_x_medium,Recoleta,3,5,"['email', 'phone', 'work_email']",t,f,"Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",Recoleta,,-34.58824,-58.38833,Entire rental unit,Entire home/apt,4,,2.5 baths,1.0,,"[""First aid kit"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Heating"", ""Elevator"", ""Hangers"", ""Pets allowed"", ""TV"", ""Air conditioning"", ""Hot tub"", ""Shampoo"", ""Fire extinguisher""]",,7,30,5,7,1125,1125,6.4,1125.0,,,0,0,0,0,2024-11-29,1,0,0,2017-03-27,2017-03-27,4.0,4.0,2.0,4.0,4.0,5.0,4.0,,f,3,3,0,0,0.01
7979,41262163,https://www.airbnb.com/rooms/41262163,20241129051305,2024-11-30,city scrape,"Basilica del Pilar, La Biela, La Recoleta and more","The house is a studio flat (45 mq2) located in front of the Pilar church,  close to the most important streets of Recoleta .<br />For organizational reasons and of disinfection of environments, the reservation is recommended at least one week prior the scheduled arrival.","Recoleta is a downtown residential neighborhood in Buenos Aires, Argentina. It is an area of great historical and architectural interest, due to its Beaux-Arts architecture as well as the distinguished Recoleta Cemetery. It is also an important tourist destination in the city.",https://a0.muscache.com/pictures/8387b2d0-8ff8-44d4-926d-443f4bc6c22c.jpg,234628560,https://www.airbnb.com/users/show/234628560,Nicola,2019-01-05,"Pavia, Italy","Italian Dermatology  
",,,,f,https://a0.muscache.com/im/pictures/user/cc8f4f45-e372-4cb0-a65b-16740692c9a8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cc8f4f45-e372-4cb0-a65b-16740692c9a8.jpg?aki_policy=profile_x_medium,Recoleta,2,2,"['email', 'phone', 'work_email']",t,t,"Recoleta, Buenos Aires, Argentina",Recoleta,,-34.58828,-58.38975,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wifi"", ""Kitchen"", ""Private entrance"", ""Essentials"", ""Heating"", ""Hangers"", ""Air conditioning"", ""Shampoo""]",31984.0,3,30,3,3,1125,1125,3.0,1125.0,,t,0,0,0,152,2024-11-30,5,0,0,2022-12-11,2023-02-28,4.2,4.6,2.8,5.0,4.6,5.0,3.8,,f,1,1,0,0,0.21
8166,41878186,https://www.airbnb.com/rooms/41878186,20241129051305,2024-11-29,previous scrape,RESIDENCIA EN SAN CRISTOBAL,"It has various spaces for common use, both for relaxation and comfort. Located in an area of easy access and various means of transport. AdÃ©mas from a stay allows you to venture into the city's main tourist attractions.","san Cristobal neighborhood, in the heart of the city, you can tour different tourist points.",https://a0.muscache.com/pictures/8dfeaf7b-c7ae-423e-bc00-0f357693b4a9.jpg,267258334,https://www.airbnb.com/users/show/267258334,Amalia,2019-06-09,,"Junto a mi esposo Blas llevamos la residencia hace mas de 20 aÃ±os, la cual complementamos con nuestro estudio de producciones musicales y audiovisuales. Disfrutamos compartir nuestras experiencias y conocimientos sobre el tango y folcklore argentino. Estamos dispuestos a ser de guÃ­as y recorrer junto a ustedes lugares destacados de la ciudad autÃ³noma de Buenos Aires y alrededores. Los-as esperamos.
Together with my husband Blas we have been living for more than 20 years, which we complement with our studio of musical and audiovisual productions. We enjoy sharing our experiences and knowledge about Argentine tango and folklore. We are willing to be guides and tour with you prominent places in the autonomous city of Buenos Aires and surroundings. We wait.",,,,f,https://a0.muscache.com/im/pictures/user/868d8893-529e-4a9c-9154-439f33f219a3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/868d8893-529e-4a9c-9154-439f33f219a3.jpg?aki_policy=profile_x_medium,San CristÃ³bal,5,5,"['email', 'phone']",t,f,"ABE, Buenos Aires, Argentina",San Cristobal,,-34.6198,-58.40277,Private room in home,Private room,2,,1.5 shared baths,,,"[""Smoking allowed"", ""Exterior security cameras on property"", ""Cooking basics"", ""First aid kit"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Heating"", ""Private living room"", ""Breakfast"", ""Hangers"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Shampoo"", ""Fire extinguisher"", ""Hair dryer"", ""Pool""]",,1,1125,1,1,1125,1125,1.0,1125.0,,,0,0,0,0,2024-11-29,6,0,0,2022-04-15,2023-04-09,3.33,3.0,2.67,3.67,3.67,3.5,3.17,,f,5,0,3,2,0.19
9514,51451623,https://www.airbnb.com/rooms/51451623,20241129051305,2024-11-29,previous scrape,"Apart Suite in Microcentro, San NicolÃ¡s, CABA",,,https://a0.muscache.com/pictures/6cbe7dc8-cfec-43d1-8027-aea7b3ae011f.jpg,382418374,https://www.airbnb.com/users/show/382418374,Elias,2020-12-31,"Buenos Aires, Argentina",,within an hour,1.0,0.84,f,https://a0.muscache.com/im/pictures/user/e31e780c-8a26-4055-9fab-0f9600b51825.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e31e780c-8a26-4055-9fab-0f9600b51825.jpg?aki_policy=profile_x_medium,,21,21,"['email', 'phone']",t,t,,San Nicolas,,-34.60675,-58.37357,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Wifi"", ""Elevator"", ""Essentials"", ""Heating"", ""Smoke alarm"", ""Hangers"", ""Dedicated workspace"", ""TV"", ""Air conditioning"", ""Hot water"", ""Shampoo""]",,1,365,1,1,365,365,1.0,365.0,,t,0,0,0,0,2024-11-29,1,0,0,2022-04-17,2022-04-17,4.0,4.0,2.0,5.0,5.0,5.0,5.0,,f,21,21,0,0,0.03
11714,642009224179171860,https://www.airbnb.com/rooms/642009224179171860,20241129051305,2024-11-30,city scrape,Casona alegre con estacionamiento gratis,"This elegant accommodation is ideal for group trips, it consists of spacious rooms, it is a three-story house. It has on-site parking, separate kitchen, dining and living room, and a bathroom on the first floor. On the second floor there are two bedrooms, one of which has an en-suite bathroom and on the third floor a gazebo and barbecue.","Private neighborhood with security 24 hours a day, very quiet and safe",https://a0.muscache.com/pictures/miso/Hosting-642009224179171860/original/b87fd62a-b8a9-4f80-a722-52abf7f174b8.jpeg,462559238,https://www.airbnb.com/users/show/462559238,Martina,2022-06-04,,,a few days or more,0.08,0.0,f,https://a0.muscache.com/im/pictures/user/0a6b5c97-9e3d-4ec9-85c4-dfdf935763c9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0a6b5c97-9e3d-4ec9-85c4-dfdf935763c9.jpg?aki_policy=profile_x_medium,Palermo Chico,1,1,"['email', 'phone']",t,t,"Palermo, Buenos Aires, Argentina",Palermo,,-34.577956,-58.3998222,Private room in villa,Private room,4,2.0,2 baths,2.0,3.0,"[""Exterior security cameras on property"", ""First aid kit"", ""Wifi"", ""Kitchen"", ""Free parking on premises"", ""Pets allowed"", ""Dedicated workspace"", ""TV"", ""Air conditioning"", ""Outdoor dining area"", ""Washer"", ""BBQ grill"", ""Fire extinguisher""]",20857.0,1,365,1,1,365,365,1.0,365.0,,t,15,42,71,346,2024-11-30,2,0,0,2022-06-27,2022-07-13,3.5,4.0,2.5,3.0,3.0,4.5,3.5,,f,1,0,1,0,0.07
