,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
17,48089,https://www.airbnb.com/rooms/48089,20241129051305,2024-11-30,city scrape,Recoleta Classic French-Style 2BDR,"This classic French-style apartment is located on a quiet, tree-lined street one block away from the Plaza Intendente Alvear and the famous Recoleta Cemetery. Upscale shops, restaurants both grand and intimate, and a walker's paradise are just outside your door.  Recoleta is considered one of the more affluent and safe neighborhoods in BA - historic and filled with architectural gems.  Also a fantastic location to take in the daytime cafe scene or the more lively after dark nightlife.",,https://a0.muscache.com/pictures/568672/e2ede64a_original.jpg,192475,https://www.airbnb.com/users/show/192475,Chris,2010-08-05,"San Francisco, CA","I enjoy exploring the far corners of the Earth and getting to know local people and other travelers along the way.  Getting the ""local"" experience is a lot harder than it sounds, but always worth it.  Food, music, sport, and tradition add to the mix.",within a day,1.0,0.0,f,https://a0.muscache.com/im/users/192475/profile_pic/1291614517/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/192475/profile_pic/1291614517/original.jpg?aki_policy=profile_x_medium,Recoleta,1,2,"['email', 'phone', 'work_email']",t,t,,Recoleta,,-34.58705,-58.38791,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2.0,3.0,"[""TV with standard cable"", ""Bed linens"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Stove"", ""Cooking basics"", ""Host greets you"", ""Kitchen"", ""Elevator"", ""Smoke alarm"", ""Hangers"", ""Microwave"", ""Air conditioning"", ""Extra pillows and blankets"", ""Washer"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Long term stays allowed"", ""Hot water"", ""Paid parking off premises"", ""Ethernet connection"", ""Carbon monoxide alarm"", ""Coffee maker""]",50475.0,7,365,7,7,365,365,7.0,365.0,,t,0,12,12,12,2024-11-30,111,2,0,2010-10-06,2024-01-01,4.84,4.86,4.78,4.9,4.95,4.96,4.86,,f,1,1,0,0,0.64
22,61282,https://www.airbnb.com/rooms/61282,20241129051305,2024-11-29,city scrape,Loft with Balcony in Belgrano,"The flat is on the 3rd floor with balcony, AC, heating, one toilette downstairs and a bathroom upstairs. Also a terrace on the 7th floor with a great view at the city.","It is quiet, green, safe and pleasant to spend a stay in Baires and enjoy an oasis after the bustle of the city.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjEyODI%3D/original/2572a2ee-1c01-4b7b-a7e8-ff3a6f5a3822.jpeg,296398,https://www.airbnb.com/users/show/296398,Alejandro,2010-11-23,"Buenos Aires, Argentina","Argentina, Buenos Aires._x000D_
Tengo un lindo loft  con balcÃ³n en Belgrano, si te interesa puedes enviar tus preguntas a travÃ©s de este medio.",within a day,1.0,0.75,f,https://a0.muscache.com/im/users/296398/profile_pic/1429805791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/296398/profile_pic/1429805791/original.jpg?aki_policy=profile_x_medium,NÃºÃ±ez,1,1,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",NuÃ±ez,,-34.55396,-58.46753,Entire loft,Entire home/apt,2,2.0,2 baths,1.0,1.0,"[""TV with standard cable"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Stove"", ""Free street parking"", ""Cooking basics"", ""Host greets you"", ""Kitchen"", ""Elevator"", ""Hangers"", ""Microwave"", ""Air conditioning"", ""Refrigerator"", ""Patio or balcony"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Long term stays allowed"", ""Hot water"", ""Coffee maker""]",37351.0,6,240,6,6,240,240,6.0,240.0,,t,16,46,76,351,2024-11-29,148,3,0,2010-12-14,2024-09-21,4.88,4.89,4.68,4.94,4.95,4.78,4.83,,f,1,1,0,0,0.87
55,81457,https://www.airbnb.com/rooms/81457,20241129051305,2024-11-29,city scrape,By owner: Big Belgrano Penthouse,"Design and detailed oriented, super comfortable apartment in a great area of Buenos Aires. It has it all: The comfort, the light, the space, the furniture and all the details to make you feel like at home or better. Not the typical airbnb, it is better!",,https://a0.muscache.com/pictures/miso/Hosting-81457/original/bd29b637-27c0-4b44-8d9e-2e3fedd9da21.jpeg,242257,https://www.airbnb.com/users/show/242257,MagalÃ­,2010-09-22,"Barcelona, Spain","I am a designer.
I love traveling and connecting with new people. ",within a day,1.0,0.75,f,https://a0.muscache.com/im/pictures/user/31298efc-9625-475b-834f-56b3b5dd71e2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/31298efc-9625-475b-834f-56b3b5dd71e2.jpg?aki_policy=profile_x_medium,Colegiales,1,1,"['email', 'phone', 'work_email']",t,t,,Colegiales,,-34.5675,-58.45398,Entire condo,Entire home/apt,4,2.0,2 baths,2.0,3.0,"[""TV with standard cable"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Heating"", ""Dryer"", ""Air conditioning"", ""Washer"", ""Pool""]",100949.0,7,100,1,7,100,100,7.0,100.0,,t,14,38,68,315,2024-11-29,21,2,1,2011-04-15,2024-11-16,4.68,4.89,4.63,4.89,4.89,4.79,4.58,,f,1,1,0,0,0.13
64,93174,https://www.airbnb.com/rooms/93174,20241129051305,2024-11-30,city scrape,BnB en Bs As! luminosa habitaciÃ³n para 2 personas,"We are in the area called Once, very famous for its economic businesses. <br />Downtown can be reached by walking in about 20 minutes or by public transport that we have very close and abundant.<br /><br />We are very close to the clinic hospital and the entire university area.<br /><br />The building has won awards for its structure in its time, and has been one of the most stylish of the eleven.","The area is busy, and they are family apartments, with a lot of tranquility. It is the commercial area of the city and we are 2 blocks from the emblematic Corrientes Avenue.",https://a0.muscache.com/pictures/541d76d1-02ec-4663-8098-b6064721fafa.jpg,500210,https://www.airbnb.com/users/show/500210,Luciano,2011-04-11,"Buenos Aires, Argentina","CIao! Sono Luciano, cantante Lirico di professione, amante del tango argentino, del cibo e del buon vino._x000D_
Vivo tra Spagna, italia e un po a Buenos Aires. Dal 2002 ricevo ospiti nel mio B&B e devo dire che fino a questo momento Ã¨ stata una bellissima esperienza. Tutti i nostri ospiti sono stati felici e ci raccomandano i loro amici che vengono da noi. _x000D_
 Saremo molto felici di averti come nostro gradito ospite.",within a day,1.0,0.5,f,https://a0.muscache.com/im/pictures/user/User-500210/original/0dba395e-e57f-41b9-bf48-c6996baaf25c.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-500210/original/0dba395e-e57f-41b9-bf48-c6996baaf25c.jpeg?aki_policy=profile_x_medium,Balvanera,5,6,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Balvanera,,-34.60299,-58.40194,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Bed linens"", ""Freezer"", ""Essentials"", ""Indoor fireplace: gas"", ""Electrolux  refrigerator"", ""HDTV with Amazon Prime Video, Chromecast, Disney+, HBO Max, Netflix, premium cable, Apple TV, Fire TV, Hulu, Roku, standard cable, DVD player"", ""Fire extinguisher"", ""Hair dryer"", ""Clothing storage: closet and wardrobe"", ""Paid washer \u2013 In unit"", ""First aid kit"", ""Dishwasher"", ""Elevator"", ""Body soap"", ""Hangers"", ""Lock on bedroom door"", ""Microwave"", ""Extra pillows and blankets"", ""Ceiling fan"", ""Window AC unit"", ""Books and reading material"", ""Cleaning available during stay"", ""Bidet"", ""Dishes and silverware"", ""Drying rack for clothing"", ""EV charger"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Iron"", ""Portable heater"", ""Luggage dropoff allowed"", ""Wifi \u2013 42 Mbps"", ""Shampoo"", ""Radiant heating"", ""Portable fans"", ""Ethernet connection"", ""Bathtub"", ""Movie theater"", ""Paid parking lot off premises"", ""Room-darkening shades"", ""Dining table"", ""Coffee maker"", ""Piano"", ""Cleaning products"", ""Toaster""]",24228.0,2,730,2,2,730,730,2.0,730.0,,t,0,0,0,5,2024-11-30,17,0,0,2011-11-11,2023-11-14,4.81,4.82,4.88,4.88,4.88,4.24,4.59,33556899,f,4,0,4,0,0.11
84,131145,https://www.airbnb.com/rooms/131145,20241129051305,2024-11-30,city scrape,DONDE VIVI (1) Rooms for Rent .,"DONDEVIVI is a big house/apartment with  4 bedrooms, kitchen, dinning room , living room,  a little Patio.  The  2 rooms for guest  are with with balcony to the street.<br />Its one floor up by stairs. Its a relax house. <br />We are happy to recibe you!<br />Las and I look forward to seeing you!<br />Viviana","DONDE VIVI. house. <br />10 mts from Plaza Almagro. (Park) <br />2 blocks from La Catedral. (Milonga Tango Dancing) <br />1 block from El Bar de Roberto.(Tango singuers) <br />1 block from Av. Medrano. <br />3 blocks from Av Corrientes. <br />3 blocks from Av. Rivadavia. <br />4 blocks from Subway ""B"" , ""Medrano"" Stop. <br />4 blocks from Subway ""A"" , ""Castro Barro"" Stop.<br /><br />The only problem is the street noise... the busses in the city are noise and all over !!! some of them sound a bit like trucks... so if you don't have problems to sleep it will be fine!",https://a0.muscache.com/pictures/5bbc56b6-8bd2-4eaa-a7e7-b6a625eb8650.jpg,645495,https://www.airbnb.com/users/show/645495,Viviana,2011-05-31,"Buenos Aires, Argentina","I am easy going, tango person, some times i am in the city, most of the time this days I am in the farm , we are building a bio house . I love to dance, I like to fix things! chat with friends! I enjoy my job, dancing and teaching Tango to people from different cultures! And , Claro, I like to travel! :)_x000D_
I enjoy my little Patio and my plants!_x000D_
Come and visit me! Viviana",within a day,1.0,0.94,t,https://a0.muscache.com/im/pictures/user/User-645495/original/53908835-57f5-442d-9d97-6d4c9d4e318f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-645495/original/53908835-57f5-442d-9d97-6d4c9d4e318f.jpeg?aki_policy=profile_x_medium,Almagro,2,3,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Almagro,,-34.60728,-58.41949,Private room in home,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Wifi"", ""Essentials"", ""Hair dryer"", ""Shared patio or balcony"", ""Free street parking"", ""Host greets you"", ""Kitchen"", ""Lock on bedroom door"", ""Hangers"", ""Shared backyard \u2013 Fully fenced"", ""Refrigerator"", ""Dishes and silverware"", ""Heating"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Iron"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Coffee maker""]",20190.0,3,730,3,3,730,730,3.0,730.0,,t,18,48,78,353,2024-11-30,57,12,0,2011-07-25,2024-10-28,4.8,4.74,4.7,4.87,4.83,4.7,4.78,,f,2,0,2,0,0.35
114,192259,https://www.airbnb.com/rooms/192259,20241129051305,2024-11-30,city scrape,DONDE VIVI (2) Room for Rent,"DondeVivi is a large, bright house. Has 4 bedrooms, 2 kitchens, a bathroom, a toilet and a patio. Here live Damian and Viviana. <br />In the front of the house there are 2 bedrooms with balcony to the street to rent and in the back there are 2 other rooms for us and our guests.<br />Damian is a musician, Folklore guitarist  and I am a tango dancer. Damian has children who live with her mother and sometimes are with us.  we also have a very very quiet dog Pompy  :)",,https://a0.muscache.com/pictures/miso/Hosting-192259/original/f88877ab-fe68-4877-8039-18d94f3d18f7.jpeg,645495,https://www.airbnb.com/users/show/645495,Viviana,2011-05-31,"Buenos Aires, Argentina","I am easy going, tango person, some times i am in the city, most of the time this days I am in the farm , we are building a bio house . I love to dance, I like to fix things! chat with friends! I enjoy my job, dancing and teaching Tango to people from different cultures! And , Claro, I like to travel! :)_x000D_
I enjoy my little Patio and my plants!_x000D_
Come and visit me! Viviana",within a day,1.0,0.94,t,https://a0.muscache.com/im/pictures/user/User-645495/original/53908835-57f5-442d-9d97-6d4c9d4e318f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-645495/original/53908835-57f5-442d-9d97-6d4c9d4e318f.jpeg?aki_policy=profile_x_medium,Almagro,2,3,"['email', 'phone']",t,t,,Almagro,,-34.60589,-58.42091,Private room in home,Private room,1,1.5,1.5 shared baths,4.0,2.0,"[""Bed linens"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Stove"", ""Shared patio or balcony"", ""Free street parking"", ""Cooking basics"", ""First aid kit"", ""Kitchen"", ""Hangers"", ""Extra pillows and blankets"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Private backyard \u2013 Not fully fenced"", ""Window guards"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Iron"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Bathtub"", ""Room-darkening shades"", ""Coffee maker""]",10095.0,3,1124,3,3,1124,1124,3.0,1124.0,,t,15,45,75,350,2024-11-30,49,7,1,2011-10-11,2024-11-27,4.72,4.79,4.65,4.98,4.88,4.56,4.77,,f,2,0,2,0,0.31
131,262690,https://www.airbnb.com/rooms/262690,20241129051305,2024-11-30,city scrape,Las Canitas-Palermo-Great Price !!!,"**Available Now <br />Walking to Polo and Horse Racing Center<br />From doorstep you can go to Palermo Parks for running  , roller-blading , bicycling, etc.<br />Many Bars, Restaurants & Cafes <br />Safe Environment. Supermarket<br />Ideal for a Student<br />SHORT and LONG TERM options. Just message.",Cafes - Restaurants - Dinning and Lunch Options- Near Palermo Parks.,https://a0.muscache.com/pictures/2589162/4281f70c_original.jpg,1378665,https://www.airbnb.com/users/show/1378665,Gaston Luciano,2011-11-06,Argentina,We would love to welcome all guests from all over the world in our apartment. Come and visit our wonderful apartment!,within a day,1.0,,f,https://a0.muscache.com/im/pictures/user/af910e99-3823-404c-bc07-5da8a100af6d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/af910e99-3823-404c-bc07-5da8a100af6d.jpg?aki_policy=profile_x_medium,Palermo,1,3,['phone'],t,t,"Buenos Aires, Capital Federal, Argentina",Palermo,,-34.56945,-58.42982,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""TV with standard cable"", ""Wifi"", ""Kitchen"", ""Free parking on premises"", ""Essentials"", ""Heating"", ""Elevator"", ""Hangers"", ""Air conditioning"", ""Washer"", ""Iron"", ""Hair dryer""]",28786.0,90,365,90,90,365,365,90.0,365.0,,t,0,0,0,245,2024-11-30,3,0,0,2013-11-15,2016-02-08,4.33,4.33,3.67,4.67,4.67,5.0,4.33,,f,1,1,0,0,0.02
146,292877,https://www.airbnb.com/rooms/292877,20241129051305,2024-12-01,city scrape,"Lovely Private Room,  Palermo Soho",,"Please note that check in will be from 9-13 every week day! Exceptions can be make, but please just in case, consult before booking! Thank you!",https://a0.muscache.com/pictures/miso/Hosting-292877/original/915aca65-4edb-4a21-a550-e74f7efe3d8c.jpeg,1516002,https://www.airbnb.com/users/show/1516002,Maria Agustina,2011-12-18,"Buenos Aires, Argentina","Born in Buenos Aires, Argentina, I've being renting rooms for a few years now, and it's being a really enriching experience  receiving foreign guests at home, and sharing different cultures and histories. _x000D_
I dedicate myself to art: writing  and singing, are my passions!
Though I no longer live in the house, for me is trully important to help my guests feel at home, and to advice them on how to enjoy the city in all its splendour!",within a day,0.9,0.71,f,https://a0.muscache.com/im/pictures/user/2fabe3f2-5fe4-445c-a7ab-23523c122b7f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2fabe3f2-5fe4-445c-a7ab-23523c122b7f.jpg?aki_policy=profile_x_medium,Palermo,6,9,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Palermo,,-34.58956,-58.42481,Private room in rental unit,Private room,6,2.5,2.5 shared baths,1.0,1.0,"[""TV with standard cable"", ""Freezer"", ""Wifi"", ""Essentials"", ""Outdoor dining area"", ""Outdoor furniture"", ""Hair dryer"", ""Shared patio or balcony"", ""Cooking basics"", ""Baking sheet"", ""Kitchen"", ""Laundromat nearby"", ""Host greets you"", ""Lock on bedroom door"", ""Microwave"", ""Backyard"", ""Refrigerator"", ""Outdoor shower"", ""Heating - split type ductless system"", ""Oven"", ""Bidet"", ""Cleaning available during stay"", ""Dishes and silverware"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""AC - split type ductless system"", ""Luggage dropoff allowed"", ""Bathtub"", ""Dining table"", ""Cleaning products""]",12114.0,10,365,10,10,365,365,10.0,365.0,,t,3,22,24,269,2024-12-01,20,6,1,2012-01-27,2024-11-02,4.79,4.72,4.5,5.0,4.94,4.89,4.67,,f,5,0,5,0,0.13
149,302722,https://www.airbnb.com/rooms/302722,20241129051305,2024-11-30,city scrape,Chic Studio Apartment in Palermo!,"This beautiful apartment is greatly located in the Palermo neighbourhood, just half a block from the Las Heras Park, the area is surrounded by good restaurants, cinemas, shopping areas and several public transportation.<br />***Please note that a form of identification will be required for check in purposes.  A copy of such will remain with the owner during the stay","This is a fantastic neighborhood with everything you will need around you: shopping, entertainment, transportation and also the Museum Mile too!",https://a0.muscache.com/pictures/10850942/43d898db_original.jpg,1558866,https://www.airbnb.com/users/show/1558866,Vero,2012-01-02,"New York, NY","Founder of Cultural House of Language & Learning. A full-service foreign language and academic support organization in New York, New Jersey and Buenos Aires. ",within a day,1.0,1.0,f,https://a0.muscache.com/im/users/1558866/profile_pic/1355232100/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1558866/profile_pic/1355232100/original.jpg?aki_policy=profile_x_medium,Palermo,1,1,"['email', 'phone']",t,t,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",Palermo,,-34.5821,-58.40658,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,"[""TV with standard cable"", ""Bed linens"", ""Clothing storage: wardrobe"", ""Wifi"", ""Freezer"", ""Essentials"", ""Exercise equipment"", ""Outdoor dining area"", ""Pool view"", ""Outdoor furniture"", ""Hair dryer"", ""Courtyard view"", ""Garden view"", ""Stove"", ""Free street parking"", ""Cooking basics"", ""Laundromat nearby"", ""Kitchen"", ""Elevator"", ""Host greets you"", ""Paid washer \u2013 In building"", ""Smoke alarm"", ""Hangers"", ""Microwave"", ""Backyard"", ""Shared outdoor pool - available seasonally"", ""Extra pillows and blankets"", ""Refrigerator"", ""Patio or balcony"", ""Books and reading material"", ""Paid dryer \u2013 In building"", ""Bidet"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Heating"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Iron"", ""AC - split type ductless system"", ""Wine glasses"", ""Hot water kettle"", ""Shared sauna"", ""Bathtub"", ""Private entrance"", ""Outdoor playground"", ""Room-darkening shades"", ""Coffee maker"", ""Cleaning products"", ""Shared gym in building"", ""Toaster""]",45427.0,3,365,3,3,365,365,3.0,365.0,,t,17,39,69,344,2024-11-30,15,1,0,2012-03-05,2024-01-20,4.64,4.87,4.6,4.93,4.87,4.8,4.53,,f,1,1,0,0,0.1
153,307695,https://www.airbnb.com/rooms/307695,20241129051305,2024-11-30,city scrape,BnB bien porteÃ±o amplio y luminoso! 3/4 personas.,"Are you planning to stay in Buenos Aires? In the heart of the city, in a building attractive and elegant, an ideal and peaceful place is waiting for you from your long restful night milongas.","The area is busy, and they are family apartments, with a lot of tranquility. It is the commercial area of the city and we are 2 blocks from the emblematic Corrientes Avenue.",https://a0.muscache.com/pictures/11c13607-8512-462d-b6a6-637f85faa5c5.jpg,500210,https://www.airbnb.com/users/show/500210,Luciano,2011-04-11,"Buenos Aires, Argentina","CIao! Sono Luciano, cantante Lirico di professione, amante del tango argentino, del cibo e del buon vino._x000D_
Vivo tra Spagna, italia e un po a Buenos Aires. Dal 2002 ricevo ospiti nel mio B&B e devo dire che fino a questo momento Ã¨ stata una bellissima esperienza. Tutti i nostri ospiti sono stati felici e ci raccomandano i loro amici che vengono da noi. _x000D_
 Saremo molto felici di averti come nostro gradito ospite.",within a day,1.0,0.5,f,https://a0.muscache.com/im/pictures/user/User-500210/original/0dba395e-e57f-41b9-bf48-c6996baaf25c.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-500210/original/0dba395e-e57f-41b9-bf48-c6996baaf25c.jpeg?aki_policy=profile_x_medium,Balvanera,5,6,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Balvanera,,-34.60141,-58.40059,Private room in rental unit,Private room,4,1.0,1 private bath,2.0,4.0,"[""Bed linens"", ""Freezer"", ""Essentials"", ""Indoor fireplace: gas"", ""Paid parking on premises"", ""Electrolux  refrigerator"", ""Wifi \u2013 46 Mbps"", ""Fire extinguisher"", ""Hair dryer"", ""Clothing storage: closet and wardrobe"", ""Paid washer \u2013 In unit"", ""First aid kit"", ""Elevator"", ""Host greets you"", ""Hangers"", ""Microwave"", ""Extra pillows and blankets"", ""Ceiling fan"", ""Books and reading material"", ""Cleaning available during stay"", ""Bidet"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Heating"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Iron"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Hot water kettle"", ""Kitchenette"", ""Portable fans"", ""Ethernet connection"", ""Movie theater"", ""Room-darkening shades"", ""Private patio or balcony"", ""Dining table"", ""Piano"", ""Cleaning products"", ""Toaster""]",25587.0,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,0,1,2024-11-30,3,0,0,2012-04-01,2018-10-15,4.67,5.0,5.0,5.0,5.0,5.0,5.0,,f,4,0,4,0,0.02
